"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2024-01-15T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",2.92,"bereinigt"
"2024-01-15T00:00+0100","Zch_Heubeeribüel","T","d1","°C",-0.54,"bereinigt"
"2024-01-15T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",936.62,"bereinigt"
"2024-01-15T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",1.35,"bereinigt"
"2024-01-16T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",0.55,"bereinigt"
"2024-01-16T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",128.92,"bereinigt"
"2024-01-16T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",958.8,"bereinigt"
"2024-01-16T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",73.53,"bereinigt"
"2024-01-16T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.75,"bereinigt"
"2024-01-16T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",0.63,"bereinigt"
"2024-01-16T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",98.12,"bereinigt"
"2024-01-16T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",961.45,"bereinigt"
"2024-01-16T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",2.59,"bereinigt"
"2024-01-16T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",0.45,"bereinigt"
"2024-01-16T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",107.73,"bereinigt"
"2024-01-16T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",959.12,"bereinigt"
"2024-01-16T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",3.13,"bereinigt"
"2024-01-16T00:00+0100","Zch_Heubeeribüel","T","d1","°C",-1.4,"bereinigt"
"2024-01-16T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",938.2,"bereinigt"
"2024-01-16T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",1.44,"bereinigt"
"2024-01-17T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.89,"bereinigt"
"2024-01-17T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",952.1,"bereinigt"
"2024-01-17T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",945.85,"bereinigt"
